岗位名称,职级,工作年限要求,薪资,核心能力要求
初级后端开发工程师,P1（初级）,0-1年,8K-15K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
初级前端开发工程师,P1（初级）,0-1年,8K-15K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
初级移动端开发工程师,P1（初级）,0-1年,8K-15K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
初级全栈开发工程师,P1（初级）,0-1年,8K-15K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
初级测试工程师,P1（初级）,0-1年,8K-15K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
初级运维/DevOps工程师,P1（初级）,0-1年,8K-15K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
初级AI应用工程师,P1（初级）,0-1年,8K-15K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
初级网络安全专员,P1（初级）,0-1年,8K-15K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
产品助理,P1（初级）,0-1年,7K-13K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
需求分析助理,P1（初级）,0-1年,7K-13K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
UI设计助理,P1（初级）,0-1年,7K-14K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
UX设计助理,P1（初级）,0-1年,7K-14K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
平面设计助理,P1（初级）,0-1年,7K-14K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
交互设计助理,P1（初级）,0-1年,7K-14K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
内容运营助理,P1（初级）,0-1年,6K-12K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
用户运营助理,P1（初级）,0-1年,6K-12K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
活动运营助理,P1（初级）,0-1年,6K-12K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
数据运营助理,P1（初级）,0-1年,6K-12K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
社群运营助理,P1（初级）,0-1年,6K-12K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
市场专员助理,P1（初级）,0-1年,6K-12K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
品牌推广助理,P1（初级）,0-1年,6K-12K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
新媒体运营助理,P1（初级）,0-1年,6K-12K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
市场活动助理,P1（初级）,0-1年,6K-12K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
初级销售代表,P1（初级）,0-1年,5K-10K（底薪）+提成,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
客户代表助理,P1（初级）,0-1年,5K-10K（底薪）+提成,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
售前顾问助理,P1（初级）,0-1年,5K-10K（底薪）+提成,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
售后技术支持助理,P1（初级）,0-1年,5K-10K（底薪）+提成,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
行政助理,P1（初级）,0-1年,5K-10K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
人事助理（招聘）,P1（初级）,0-1年,5K-10K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
人事助理（薪酬）,P1（初级）,0-1年,5K-10K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
财务助理,P1（初级）,0-1年,5K-10K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
法务助理,P1（初级）,0-1年,5K-10K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
采购助理,P1（初级）,0-1年,5K-10K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
数据分析师助理,P1（初级）,0-1年,7K-14K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
数据录入专员,P1（初级）,0-1年,7K-14K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
数据可视化助理,P1（初级）,0-1年,7K-14K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
数据治理助理,P1（初级）,0-1年,7K-14K,掌握岗位基础技能，能在指导下完成基础工作，理解岗位核心流程，具备基本职业素养。
中级后端开发工程师,P2（中级）,1-3年,15K-25K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
中级前端开发工程师,P2（中级）,1-3年,15K-25K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
中级移动端开发工程师,P2（中级）,1-3年,15K-25K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
中级全栈开发工程师,P2（中级）,1-3年,15K-25K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
中级测试工程师,P2（中级）,1-3年,15K-25K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
中级运维/DevOps工程师,P2（中级）,1-3年,15K-25K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
AI算法助理工程师,P2（中级）,1-3年,15K-25K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
云平台助理工程师,P2（中级）,1-3年,15K-25K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
初级产品经理（B端）,P2（中级）,1-3年,12K-20K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
初级产品经理（C端）,P2（中级）,1-3年,12K-20K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
初级产品经理（AI）,P2（中级）,1-3年,12K-20K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
初级产品经理（数据）,P2（中级）,1-3年,12K-20K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
需求分析师,P2（中级）,1-3年,12K-20K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
产品运营专员,P2（中级）,1-3年,12K-20K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
UI设计师,P2（中级）,1-3年,12K-22K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
UX设计师,P2（中级）,1-3年,12K-22K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
平面设计师,P2（中级）,1-3年,12K-22K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
交互设计师,P2（中级）,1-3年,12K-22K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
动效设计师,P2（中级）,1-3年,12K-22K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
品牌设计师助理,P2（中级）,1-3年,12K-22K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
内容运营专员,P2（中级）,1-3年,10K-18K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
用户运营专员,P2（中级）,1-3年,10K-18K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
活动运营专员,P2（中级）,1-3年,10K-18K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
数据运营专员,P2（中级）,1-3年,10K-18K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
用户增长运营助理,P2（中级）,1-3年,10K-18K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
电商运营专员,P2（中级）,1-3年,10K-18K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
市场专员,P2（中级）,1-3年,10K-18K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
品牌推广专员,P2（中级）,1-3年,10K-18K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
新媒体运营专员,P2（中级）,1-3年,10K-18K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
渠道推广专员,P2（中级）,1-3年,10K-18K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
市场活动专员,P2（中级）,1-3年,10K-18K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
公关助理,P2（中级）,1-3年,10K-18K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
销售代表,P2（中级）,1-3年,8K-15K（底薪）+提成（月均综合15K-30K）,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
客户经理,P2（中级）,1-3年,8K-15K（底薪）+提成（月均综合15K-30K）,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
渠道销售专员,P2（中级）,1-3年,8K-15K（底薪）+提成（月均综合15K-30K）,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
售前顾问,P2（中级）,1-3年,8K-15K（底薪）+提成（月均综合15K-30K）,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
售后技术支持工程师,P2（中级）,1-3年,8K-15K（底薪）+提成（月均综合15K-30K）,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
行政专员,P2（中级）,1-3年,8K-15K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
招聘专员,P2（中级）,1-3年,8K-15K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
薪酬专员,P2（中级）,1-3年,8K-15K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
绩效专员,P2（中级）,1-3年,8K-15K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
应收会计专员,P2（中级）,1-3年,8K-15K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
应付会计专员,P2（中级）,1-3年,8K-15K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
成本会计专员,P2（中级）,1-3年,8K-15K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
法务专员助理,P2（中级）,1-3年,8K-15K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
采购专员,P2（中级）,1-3年,8K-15K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
数据分析师,P2（中级）,1-3年,15K-25K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
数据可视化工程师,P2（中级）,1-3年,15K-25K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
数据治理专员,P2（中级）,1-3年,15K-25K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
初级数据挖掘工程师,P2（中级）,1-3年,15K-25K,熟练掌握岗位核心技能，能独立完成模块工作/项目任务，解决常见问题，具备跨岗位协作能力。
高级后端开发工程师,P3（高级）,3-5年,25K-40K,深入理解岗位技术/业务原理，能主导复杂模块/项目设计与落地，解决核心难点，具备技术选型/业务规划能力。
高级前端开发工程师,P3（高级）,3-5年,25K-40K,深入理解岗位技术/业务原理，能主导复杂模块/项目设计与落地，解决核心难点，具备技术选型/业务规划能力。
高级移动端开发工程师,P3（高级）,3-5年,25K-40K,深入理解岗位技术/业务原理，能主导复杂模块/项目设计与落地，解决核心难点，具备技术选型/业务规划能力。
高级全栈开发工程师,P3（高级）,3-5年,25K-40K,深入理解岗位技术/业务原理，能主导复杂模块/项目设计与落地，解决核心难点，具备技术选型/业务规划能力。
高级测试工程师（自动化/性能）,P3（高级）,3-5年,25K-40K,深入理解岗位技术/业务原理，能主导复杂模块/项目设计与落地，解决核心难点，具备技术选型/业务规划能力。
高级运维/DevOps工程师,P3（高级）,3-5年,25K-40K,深入理解岗位技术/业务原理，能主导复杂模块/项目设计与落地，解决核心难点，具备技术选型/业务规划能力。
AI算法工程师,P3（高级）,3-5年,25K-40K,深入理解岗位技术/业务原理，能主导复杂模块/项目设计与落地，解决核心难点，具备技术选型/业务规划能力。
云平台工程师,P3（高级）,3-5年,25K-40K,深入理解岗位技术/业务原理，能主导复杂模块/项目设计与落地，解决核心难点，具备技术选型/业务规划能力。
网络安全工程师,P3（高级）,3-5年,25K-40K,深入理解岗位技术/业务原理，能主导复杂模块/项目设计与落地，解决核心难点，具备技术选型/业务规划能力。
中级产品经理（B端）,P3（高级）,3-5年,20K-35K,深入理解岗位技术/业务原理，能主导复杂模块/项目设计与落地，解决核心难点，具备技术选型/业务规划能力。
中级产品经理（C端）,P3（高级）,3-5年,20K-35K,深入理解岗位技术/业务原理，能主导复杂模块/项目设计与落地，解决核心难点，具备技术选型/业务规划能力。
中级产品经理（AI）,P3（高级）,3-5年,20K-35K,深入理解岗位技术/业务原理，能主导复杂模块/项目设计与落地，解决核心难点，具备技术选型/业务规划能力。
中级产品经理（数据）,P3（高级）,3-5年,20K-35K,深入理解岗位技术/业务原理，能主导复杂模块/项目设计与落地，解决核心难点，具备技术选型/业务规划能力。
小模块产品负责人,P3（高级）,3-5年,20K-35K,深入理解岗位技术/业务原理，能主导复杂模块/项目设计与落地，解决核心难点，具备技术选型/业务规划能力。
产品运营主管,P3（高级）,3-5年,20K-35K,深入理解岗位技术/业务原理，能主导复杂模块/项目设计与落地，解决核心难点，具备技术选型/业务规划能力。
高级UI设计师,P3（高级）,3-5年,20K-35K,深入理解岗位技术/业务原理，能主导复杂模块/项目设计与落地，解决核心难点，具备技术选型/业务规划能力。
高级UX设计师,P3（高级）,3-5年,20K-35K,深入理解岗位技术/业务原理，能主导复杂模块/项目设计与落地，解决核心难点，具备技术选型/业务规划能力。
小团队设计组长,P3（高级）,3-5年,20K-35K,深入理解岗位技术/业务原理，能主导复杂模块/项目设计与落地，解决核心难点，具备技术选型/业务规划能力。
